File,Probability
10102.txt,0.209008126
10103.txt,0.163822363
10104.txt,0.915869506
10105.txt,0.978069298
10106.txt,0.961709635
10107.txt,0.961709635
10108.txt,0.952843055
10109.txt,0.492046545
1011.txt,0.075926351
10110.txt,0.961709635
10111.txt,0.942011604
10112.txt,0.971001941
10113.txt,0.804407797
10114.txt,0.529683429
10115.txt,0.62556681
10116.txt,0.258100635
10117.txt,0.864771006
10118.txt,0.117601548
10119.txt,0.388877462
1012.txt,0.058122919
10120.txt,0.961709635
10121.txt,0.770155451
10122.txt,0.252416334
10123.txt,0.915869506
10124.txt,0.971410311
10125.txt,0.362493711
10126.txt,0.685863655
10127.txt,0.876778822
10128.txt,0.170771248
10129.txt,0.176824499
1013.txt,0.154297594
10130.txt,0.868183367
10131.txt,0.415865485
10132.txt,0.337619164
10133.txt,0.791052354
10134.txt,0.961709635
10135.txt,0.856707137
10136.txt,0.961709635
10137.txt,0.915869506
10138.txt,0.496245591
10139.txt,0.328959552
1014.txt,0.139672203
10140.txt,0.304294074
10141.txt,0.893642858
10142.txt,0.913793307
10143.txt,0.465185378
10144.txt,0.883467068
10145.txt,0.637426873
10146.txt,0.953921608
10147.txt,0.509210967
10148.txt,0.169990318
10149.txt,0.707911023
1015.txt,0.041902143
10150.txt,0.703218291
10151.txt,0.971410311
10152.txt,0.952843055
10153.txt,0.78577319
10154.txt,0.169746739
10155.txt,0.747629699
10156.txt,0.742923668
10157.txt,0.282965939
10158.txt,0.961709635
10159.txt,0.724619014
1016.txt,0.083045391
10160.txt,0.868183367
10161.txt,0.312534406
10162.txt,0.844475176
10163.txt,0.56367066
10164.txt,0.492212869
10165.txt,0.961709635
10166.txt,0.961709635
10167.txt,0.856707137
10168.txt,0.952843055
10169.txt,0.121046968
1017.txt,0.081499892
10170.txt,0.952843055
10171.txt,0.942880582
10172.txt,0.086346895
10173.txt,0.163212494
10174.txt,0.329185516
10175.txt,0.961709635
10176.txt,0.679727023
10177.txt,0.768421031
10178.txt,0.650237361
10179.txt,0.915869506
1018.txt,0.101227827
10180.txt,0.670360513
10181.txt,0.918938194
10182.txt,0.332441015
10183.txt,0.961709635
10184.txt,0.928863566
10185.txt,0.512046008
10186.txt,0.142892504
10187.txt,0.23304837
10188.txt,0.814119915
10189.txt,0.909844482
1019.txt,0.080464417
10190.txt,0.868183367
10191.txt,0.525579505
10192.txt,0.868183367
10193.txt,0.50529724
10194.txt,0.942880582
10195.txt,0.204063229
10196.txt,0.395166958
10197.txt,0.219994486
10198.txt,0.791052354
10199.txt,0.604610556
102.txt,0.120229671
1020.txt,0.096512305
10200.txt,0.952843055
10201.txt,0.105925479
10202.txt,0.365068707
10203.txt,0.241035501
10204.txt,0.233725788
10205.txt,0.336700243
10206.txt,0.372601752
10207.txt,0.881257473
10208.txt,0.857518715
10209.txt,0.821827467
1021.txt,0.132350185
10210.txt,0.81429751
10211.txt,0.952843055
10212.txt,0.971410311
10213.txt,0.791052354
10214.txt,0.398283672
10215.txt,0.133138944
10216.txt,0.675929405
10217.txt,0.582325541
10218.txt,0.246373574
10219.txt,0.586609947
1022.txt,0.144424397
10220.txt,0.878267899
10221.txt,0.878267899
10222.txt,0.105163798
10223.txt,0.878267899
10224.txt,0.14816206
10225.txt,0.407212676
10226.txt,0.190197114
10227.txt,0.630528667
10228.txt,0.915869506
10229.txt,0.748187594
1023.txt,0.094968362
10230.txt,0.870827212
10231.txt,0.952843055
10232.txt,0.942011604
10233.txt,0.791052354
10234.txt,0.455306803
10235.txt,0.952843055
10236.txt,0.961709635
10237.txt,0.942880582
10238.txt,0.50691918
10239.txt,0.774167326
1024.txt,0.161100261
10240.txt,0.768421031
10241.txt,0.487181094
10242.txt,0.768421031
10243.txt,0.142892504
10244.txt,0.292613275
10245.txt,0.952843055
10246.txt,0.358602726
10247.txt,0.270878691
10248.txt,0.185709406
10249.txt,0.2035556
1025.txt,0.119707931
10250.txt,0.893642858
10251.txt,0.971410311
10252.txt,0.178815627
10253.txt,0.814119915
10254.txt,0.961709635
10255.txt,0.182636013
10256.txt,0.23016427
10257.txt,0.435683494
10258.txt,0.187327338
10259.txt,0.978069298
1026.txt,0.1675778
10260.txt,0.952843055
10261.txt,0.961709635
10262.txt,0.952843055
10263.txt,0.199824977
10264.txt,0.7508593
10265.txt,0.961709635
10266.txt,0.350583484
10267.txt,0.225612575
10268.txt,0.876778822
10269.txt,0.216466069
1027.txt,0.138842873
10270.txt,0.952843055
10271.txt,0.711037856
10272.txt,0.499290422
10273.txt,0.212502895
10274.txt,0.430496546
10275.txt,0.332567122
10276.txt,0.304064559
10277.txt,0.271351171
10278.txt,0.605209073
10279.txt,0.29490754
1028.txt,0.126451231
10280.txt,0.892930612
10281.txt,0.169259995
10282.txt,0.391416784
10283.txt,0.893642858
10284.txt,0.268383397
10285.txt,0.240520022
10286.txt,0.961709635
10287.txt,0.183625061
10288.txt,0.971410311
10289.txt,0.316776397
1029.txt,0.045561701
10290.txt,0.952843055
10291.txt,0.961709635
10292.txt,0.961709635
10293.txt,0.342291891
10294.txt,0.216225131
10295.txt,0.748187594
10296.txt,0.930116574
10297.txt,0.607135978
10298.txt,0.961709635
10299.txt,0.169990318
103.txt,0.12544563
1030.txt,0.155390928
10300.txt,0.534186575
10301.txt,0.649292368
10302.txt,0.222130296
10303.txt,0.655184748
10304.txt,0.180710481
10305.txt,0.288867388
10306.txt,0.886395661
10307.txt,0.856707137
10308.txt,0.961709635
10309.txt,0.915869506
1031.txt,0.125703921
10310.txt,0.892930612
10311.txt,0.930116574
10312.txt,0.952843055
10313.txt,0.6815982
10314.txt,0.856707137
10315.txt,0.915869506
10316.txt,0.883467068
10317.txt,0.353177967
10318.txt,0.784984624
10319.txt,0.893642858
1032.txt,0.02040425
10320.txt,0.794059889
10321.txt,0.353177967
10322.txt,0.252683148
10323.txt,0.362493711
10324.txt,0.915869506
10325.txt,0.342291891
10326.txt,0.870827212
10327.txt,0.31278066
10328.txt,0.632176473
10329.txt,0.768421031
1033.txt,0.070551332
10330.txt,0.915869506
10331.txt,0.961709635
10332.txt,0.869130386
10333.txt,0.430828999
10334.txt,0.347483403
10335.txt,0.387462597
10336.txt,0.335203703
10337.txt,0.50735957
10338.txt,0.335203703
10339.txt,0.952843055
1034.txt,0.177512035
10340.txt,0.690052713
10341.txt,0.942880582
10342.txt,0.596716342
10343.txt,0.856707137
10344.txt,0.256145868
10345.txt,0.566412663
10346.txt,0.391902722
10347.txt,0.856707137
10348.txt,0.164643176
10349.txt,0.762448282
1035.txt,0.154383218
10350.txt,0.90369349
10351.txt,0.715446763
10352.txt,0.870827212
10353.txt,0.581409095
10354.txt,0.129487246
10355.txt,0.887021761
10356.txt,0.915869506
10357.txt,0.300383446
10358.txt,0.844475176
10359.txt,0.228133148
1036.txt,0.369655414
10360.txt,0.454013941
10361.txt,0.868183367
10362.txt,0.814119915
10363.txt,0.84241036
10364.txt,0.864771006
10365.txt,0.098491312
10366.txt,0.971410311
10367.txt,0.927837951
10368.txt,0.558924361
10369.txt,0.971410311
1037.txt,0.077764575
10370.txt,0.791052354
10371.txt,0.939107044
10372.txt,0.918938194
10373.txt,0.203815632
10374.txt,0.354869519
10375.txt,0.761439438
10376.txt,0.305154148
10377.txt,0.518001089
10378.txt,0.263156518
10379.txt,0.728217875
1038.txt,0.179394505
10380.txt,0.282750773
10381.txt,0.870827212
10382.txt,0.704237848
10383.txt,0.961709635
10384.txt,0.84965973
10385.txt,0.930116574
10386.txt,0.87452462
10387.txt,0.255910128
10388.txt,0.84241036
10389.txt,0.806253007
1039.txt,0.084487364
10390.txt,0.850642889
10391.txt,0.856707137
10392.txt,0.952843055
10393.txt,0.794059889
10394.txt,0.961709635
10395.txt,0.518625138
10396.txt,0.743189487
10397.txt,0.337200278
10398.txt,0.939107044
10399.txt,0.454013941
104.txt,0.1394138
1040.txt,0.06993569
10400.txt,0.649292368
10401.txt,0.181655128
10402.txt,0.250571997
10403.txt,0.961709635
10404.txt,0.961709635
10405.txt,0.870827212
10406.txt,0.939107044
10407.txt,0.426092923
10408.txt,0.312685368
10409.txt,0.743647628
1041.txt,0.096526757
10410.txt,0.91626224
10411.txt,0.844475176
10412.txt,0.78541603
10413.txt,0.474989926
10414.txt,0.886395661
10415.txt,0.961709635
10416.txt,0.619971302
10417.txt,0.693947584
10418.txt,0.856707137
10419.txt,0.893642858
1042.txt,0.092021674
10420.txt,0.856707137
10421.txt,0.316776397
10422.txt,0.961709635
10423.txt,0.386347999
10424.txt,0.814119915
10425.txt,0.028838047
10426.txt,0.525579505
10427.txt,0.642320102
10428.txt,0.952843055
10429.txt,0.927128911
1043.txt,0.129166962
10430.txt,0.246373574
10431.txt,0.961709635
10432.txt,0.869130386
10433.txt,0.6002138
10434.txt,0.182915992
10435.txt,0.182915992
10436.txt,0.666988673
10437.txt,0.180284106
10438.txt,0.333802718
10439.txt,0.615394248
1044.txt,0.365830459
10440.txt,0.893642858
10441.txt,0.333802718
10442.txt,0.454013941
10443.txt,0.413572898
10444.txt,0.20277283
10445.txt,0.422463575
10446.txt,0.208634082
10447.txt,0.893642858
10448.txt,0.511957928
10449.txt,0.856707137
1045.txt,0.069619768
10450.txt,0.170771248
10451.txt,0.643680315
10452.txt,0.688329286
10453.txt,0.487840496
10454.txt,0.961709635
10455.txt,0.468796737
10456.txt,0.170771248
10457.txt,0.333802718
10458.txt,0.285415485
10459.txt,0.531611399
1046.txt,0.131583552
10460.txt,0.878267899
10461.txt,0.961709635
10462.txt,0.533518674
10463.txt,0.373223302
10464.txt,0.37233015
10465.txt,0.952543701
10466.txt,0.334951183
10467.txt,0.228399511
10468.txt,0.107745408
10469.txt,0.385231386
1047.txt,0.101200495
10470.txt,0.930116574
10471.txt,0.952843055
10472.txt,0.961709635
10473.txt,0.952843055
10474.txt,0.180452509
10475.txt,0.961709635
10476.txt,0.971410311
10477.txt,0.177736033
10478.txt,0.157109623
10479.txt,0.495923681
1048.txt,0.144264437
10480.txt,0.288867388
10481.txt,0.369768832
10482.txt,0.918938194
10483.txt,0.400759222
10484.txt,0.930116574
10485.txt,0.411042571
10486.txt,0.407408243
10487.txt,0.385688568
10488.txt,0.915869506
10489.txt,0.952543701
1049.txt,0.02406503
10490.txt,0.558924361
10491.txt,0.328912542
10492.txt,0.704563622
10493.txt,0.850449459
10494.txt,0.286100082
10495.txt,0.81429751
10496.txt,0.184360464
10497.txt,0.962571872
10498.txt,0.940028806
10499.txt,0.8372056
105.txt,0.046437954
1050.txt,0.165685188
10500.txt,0.407219609
10501.txt,0.856707137
10502.txt,0.596716342
10503.txt,0.939107044
10504.txt,0.664514094
10505.txt,0.403747447
10506.txt,0.856707137
10507.txt,0.374233884
10508.txt,0.300233856
10509.txt,0.6002138
1051.txt,0.084198808
10510.txt,0.902131084
10511.txt,0.35725298
10512.txt,0.190229445
10513.txt,0.893642858
10514.txt,0.323934563
10515.txt,0.961709635
10516.txt,0.952843055
10517.txt,0.287223173
10518.txt,0.450739992
10519.txt,0.174204202
1052.txt,0.156641385
10520.txt,0.268843012
10521.txt,0.155778693
10522.txt,0.200457717
10523.txt,0.939107044
10524.txt,0.191292271
10525.txt,0.952543701
10526.txt,0.204233374
10527.txt,0.978069298
10528.txt,0.868183367
10529.txt,0.377388052
1053.txt,0.107314941
10530.txt,0.952843055
10531.txt,0.961709635
10532.txt,0.170771248
10533.txt,0.952843055
10534.txt,0.872670938
10535.txt,0.868183367
10536.txt,0.930116574
10537.txt,0.597595136
10538.txt,0.978069298
10539.txt,0.881257473
1054.txt,0.077686699
10540.txt,0.868183367
10541.txt,0.939107044
10542.txt,0.893642858
10543.txt,0.915869506
10544.txt,0.300233856
10545.txt,0.915869506
10546.txt,0.961709635
10547.txt,0.961709635
10548.txt,0.84241036
10549.txt,0.961709635
1055.txt,0.079839443
10550.txt,0.870827212
10551.txt,0.12826986
10552.txt,0.952843055
10553.txt,0.856707137
10554.txt,0.386980749
10555.txt,0.915869506
10556.txt,0.59767003
10557.txt,0.642320102
10558.txt,0.978069298
10559.txt,0.961709635
1056.txt,0.112751128
10560.txt,0.6002138
10561.txt,0.353801603
10562.txt,0.724309783
10563.txt,0.300383446
10564.txt,0.893642858
10565.txt,0.743995229
10566.txt,0.952843055
10567.txt,0.155778693
10568.txt,0.930116574
10569.txt,0.850642889
1057.txt,0.132991129
10570.txt,0.768421031
10571.txt,0.868183367
10572.txt,0.961709635
10573.txt,0.743189487
10574.txt,0.868183367
10575.txt,0.325471508
10576.txt,0.53438333
10577.txt,0.952843055
10578.txt,0.190229445
10579.txt,0.390142036
1058.txt,0.108969166
10580.txt,0.868183367
10581.txt,0.961709635
10582.txt,0.961709635
10583.txt,0.712991218
10584.txt,0.152144759
10585.txt,0.764352674
10586.txt,0.170771248
1059.txt,0.133368717
106.txt,0.137963071
1060.txt,0.04339316
1061.txt,0.239155864
1062.txt,0.132616667
1063.txt,0.174204202
1064.txt,0.126862985
1065.txt,0.200104714
1066.txt,0.045917611
1067.txt,0.162038785
1068.txt,0.162225389
1069.txt,0.071946453
107.txt,0.104137666
1070.txt,0.160486821
1071.txt,0.116989563
1072.txt,0.175634265
1073.txt,0.090882392
1074.txt,0.093181772
1075.txt,0.064172816
1076.txt,0.091031998
1077.txt,0.101395715
1078.txt,0.091702446
1079.txt,0.140331088
108.txt,0.11774414
1080.txt,0.072930883
1081.txt,0.07043166
1082.txt,0.113906296
1083.txt,0.861947959
1084.txt,0.112280721
1085.txt,0.158051606
1086.txt,0.10786503
1087.txt,0.083881754
1088.txt,0.115948625
1089.txt,0.055569402
109.txt,0.161351525
1090.txt,0.071256407
1091.txt,0.059690936
1092.txt,0.120049316
1093.txt,0.124135054
1094.txt,0.251378288
1095.txt,0.139483584
1096.txt,0.099790207
1097.txt,0.099220764
1098.txt,0.220745167
1099.txt,0.18016686
11.txt,0.11768886
110.txt,0.057661386
1100.txt,0.078554545
1101.txt,0.246379643
1102.txt,0.041902143
1103.txt,0.077333661
1104.txt,0.158029744
1105.txt,0.12653842
1106.txt,0.093835046
1107.txt,0.040187811
1108.txt,0.215479559
1109.txt,0.237886401
111.txt,0.071350515
1110.txt,0.200284452
1111.txt,0.129418551
1112.txt,0.112638262
1113.txt,0.128426626
1114.txt,0.133240812
1115.txt,0.237566398
1116.txt,0.154316648
1117.txt,0.103481131
1118.txt,0.216713935
1119.txt,0.027252412
112.txt,0.062392651
1120.txt,0.157961265
1121.txt,0.161719164
1122.txt,0.232513527
1123.txt,0.3593468
1124.txt,0.142964001
1125.txt,0.106981557
1126.txt,0.041116544
1127.txt,0.086128818
1128.txt,0.061706051
1129.txt,0.061737181
113.txt,0.076849173
1130.txt,0.018554616
1131.txt,0.159569059
1132.txt,0.125081599
1133.txt,0.124060532
1134.txt,0.060786795
1135.txt,0.136196333
1136.txt,0.083063931
1137.txt,0.074336212
1138.txt,0.128905885
1139.txt,0.142244413
114.txt,0.121186555
1140.txt,0.121039112
1141.txt,0.122641048
1142.txt,0.048048299
1143.txt,0.039761534
1144.txt,0.097165058
1145.txt,0.03917699
1146.txt,0.165803588
1147.txt,0.107670056
1148.txt,0.15227924
1149.txt,0.14080302
115.txt,0.056458175
1150.txt,0.062348379
1151.txt,0.094882092
1152.txt,0.075581373
1153.txt,0.077825169
1154.txt,0.117579725
1155.txt,0.103323734
1156.txt,0.144572766
1157.txt,0.043264641
1158.txt,0.107197212
1159.txt,0.105818153
116.txt,0.146440701
1160.txt,0.083948685
1161.txt,0.126273931
1162.txt,0.12077762
1163.txt,0.15667294
1164.txt,0.24819772
1165.txt,0.136666099
1166.txt,0.043194067
1167.txt,0.039287578
1168.txt,0.183589478
1169.txt,0.157079548
117.txt,0.119386458
1170.txt,0.146949008
1171.txt,0.092191878
1172.txt,0.122798942
1173.txt,0.143090034
1174.txt,0.047093472
1175.txt,0.40063939
1176.txt,0.111439896
1177.txt,0.061484416
1178.txt,0.111170782
1179.txt,0.128341262
118.txt,0.139748275
1180.txt,0.218359082
1181.txt,0.054045337
1182.txt,0.123315437
1183.txt,0.205354368
1184.txt,0.044579002
1185.txt,0.065964791
1186.txt,0.150976043
1187.txt,0.111806974
1188.txt,0.036222686
1189.txt,0.14145641
119.txt,0.076182559
1190.txt,0.11142459
1191.txt,0.193252034
1192.txt,0.028056768
1193.txt,0.021245943
1194.txt,0.158530647
1195.txt,0.049699195
1196.txt,0.443386654
1197.txt,0.062209973
1198.txt,0.057932504
1199.txt,0.090239678
12.txt,0.141905458
120.txt,0.08149632
1200.txt,0.130267787
1201.txt,0.118946315
1202.txt,0.147548341
1203.txt,0.133843319
1204.txt,0.124836485
1205.txt,0.02406503
1206.txt,0.127578711
1207.txt,0.077544584
1208.txt,0.124925653
1209.txt,0.125017675
121.txt,0.101753295
1210.txt,0.083024951
1211.txt,0.091502008
1212.txt,0.312622929
1213.txt,0.032861437
1214.txt,0.321011531
1215.txt,0.149805939
1216.txt,0.165056464
1217.txt,0.059716659
1218.txt,0.043264641
1219.txt,0.108637224
122.txt,0.018268635
1220.txt,0.091068137
1221.txt,0.113906296
1222.txt,0.130995653
1223.txt,0.020388492
1224.txt,0.098699063
1225.txt,0.04884919
1226.txt,0.109372148
1227.txt,0.140861142
1228.txt,0.184868763
1229.txt,0.112166441
123.txt,0.095733775
1230.txt,0.281818685
1231.txt,0.051722019
1232.txt,0.186022053
1233.txt,0.254064802
1234.txt,0.122983175
1235.txt,0.200937208
1236.txt,0.10718077
1237.txt,0.15185597
1238.txt,0.057835593
1239.txt,0.095345717
124.txt,0.104962833
1240.txt,0.109959236
1241.txt,0.148955506
1242.txt,0.136896953
1243.txt,0.112782514
1244.txt,0.114098163
1245.txt,0.259896115
1246.txt,0.07893636
1247.txt,0.092542098
1248.txt,0.156049117
1249.txt,0.14569532
125.txt,0.114976738
1250.txt,0.151921797
1251.txt,0.048048299
1252.txt,0.098205876
1253.txt,0.085786743
1254.txt,0.305960388
1255.txt,0.151117409
1256.txt,0.137469608
1257.txt,0.110971227
1258.txt,0.132335812
1259.txt,0.170042604
126.txt,0.112118091
1260.txt,0.149105752
1261.txt,0.175783217
1262.txt,0.018323241
1263.txt,0.177541025
1264.txt,0.134163271
1265.txt,0.128833592
1266.txt,0.086555698
1267.txt,0.134413256
1268.txt,0.134464543
1269.txt,0.066375499
127.txt,0.096322705
1270.txt,0.133357836
1271.txt,0.137546367
1272.txt,0.081011939
1273.txt,0.108150396
1274.txt,0.079838866
1275.txt,0.256622075
1276.txt,0.079742826
1277.txt,0.084271704
1278.txt,0.096370321
1279.txt,0.193144973
128.txt,0.029483145
1280.txt,0.155831595
1281.txt,0.109779669
1282.txt,0.131715205
1283.txt,0.12947571
1284.txt,0.118552791
1285.txt,0.911204717
1286.txt,0.129490284
1287.txt,0.144332648
1288.txt,0.122061028
1289.txt,0.115528423
129.txt,0.129472795
1290.txt,0.123206187
1291.txt,0.101907828
1292.txt,0.103726535
1293.txt,0.170796034
1294.txt,0.11958727
1295.txt,0.017750532
1296.txt,0.168915059
1297.txt,0.023736392
1298.txt,0.681255793
1299.txt,0.123194332
13.txt,0.116156481
130.txt,0.171875643
1300.txt,0.022105226
1301.txt,0.093663114
1302.txt,0.135369803
1303.txt,0.117471355
1304.txt,0.119934546
1305.txt,0.169151741
1306.txt,0.091514781
1307.txt,0.14425976
1308.txt,0.138072929
1309.txt,0.114904862
131.txt,0.094670724
1310.txt,0.122696458
1311.txt,0.131431785
1312.txt,0.157079548
1313.txt,0.335203703
1314.txt,0.080527328
1315.txt,0.056313958
1316.txt,0.140699524
1317.txt,0.115130415
1318.txt,0.145434175
1319.txt,0.08546323
132.txt,0.176472377
1320.txt,0.161538946
1321.txt,0.138956674
1322.txt,0.216963115
1323.txt,0.065331371
1324.txt,0.056215164
1325.txt,0.103774314
1326.txt,0.307763385
1327.txt,0.110971227
1328.txt,0.055569402
1329.txt,0.055569402
133.txt,0.117473202
1330.txt,0.139518117
1331.txt,0.093244418
1332.txt,0.130699597
1333.txt,0.060786795
1334.txt,0.247804844
1335.txt,0.146714906
1336.txt,0.207661542
1337.txt,0.174003993
1338.txt,0.072421043
1339.txt,0.13637566
134.txt,0.142035449
1340.txt,0.29301398
1341.txt,0.043264641
1342.txt,0.140157465
1343.txt,0.189053678
1344.txt,0.16003072
1345.txt,0.19227174
1346.txt,0.155647503
1347.txt,0.166281056
1348.txt,0.152964347
1349.txt,0.067979666
135.txt,0.045880601
1350.txt,0.124129142
1351.txt,0.134478381
1352.txt,0.170771248
1353.txt,0.155357956
1354.txt,0.130407666
1355.txt,0.20057526
1356.txt,0.139664372
1357.txt,0.150354319
1358.txt,0.162611555
1359.txt,0.128820311
136.txt,0.131650581
1360.txt,0.106044435
1361.txt,0.185169379
1362.txt,0.052137308
1363.txt,0.075350163
1364.txt,0.064785929
1365.txt,0.093090359
1366.txt,0.056333211
1367.txt,0.140289268
1368.txt,0.049300174
1369.txt,0.057932504
137.txt,0.128109317
1370.txt,0.255225571
1371.txt,0.128298956
1372.txt,0.135317303
1373.txt,0.170771248
1374.txt,0.108391193
1375.txt,0.150702609
1376.txt,0.141460242
1377.txt,0.116018044
1378.txt,0.115226773
1379.txt,0.097436834
138.txt,0.137974606
1380.txt,0.097849961
1381.txt,0.018554616
1382.txt,0.072152181
1383.txt,0.122840315
1384.txt,0.101586793
1385.txt,0.11958727
1386.txt,0.15920109
1387.txt,0.22974814
1388.txt,0.156419844
1389.txt,0.174181815
139.txt,0.12344909
1390.txt,0.090086191
1391.txt,0.118503911
1392.txt,0.187516853
1393.txt,0.102437908
1394.txt,0.09675555
1395.txt,0.081103734
1396.txt,0.1540275
1397.txt,0.136790542
1398.txt,0.083045391
1399.txt,0.167041113
14.txt,0.131183228
140.txt,0.055393514
1400.txt,0.085498631
1401.txt,0.164516235
1402.txt,0.102341381
1403.txt,0.166239554
1404.txt,0.113944694
1405.txt,0.117652403
1406.txt,0.120093283
1407.txt,0.101586793
1408.txt,0.150638298
1409.txt,0.106130045
141.txt,0.058910785
1410.txt,0.142157503
1411.txt,0.144368147
1412.txt,0.129862219
1413.txt,0.138340667
1414.txt,0.085291
1415.txt,0.148919353
1416.txt,0.087631378
1417.txt,0.170771248
1418.txt,0.140865753
1419.txt,0.072286704
142.txt,0.133433677
1420.txt,0.048646132
1421.txt,0.132666616
1422.txt,0.101586793
1423.txt,0.172312814
1424.txt,0.071338146
1425.txt,0.090720156
1426.txt,0.113721275
1427.txt,0.116698235
1428.txt,0.080023085
1429.txt,0.136446122
143.txt,0.147583517
1430.txt,0.081641849
1431.txt,0.082378323
1432.txt,0.109088519
1433.txt,0.141679865
1434.txt,0.039287578
1435.txt,0.033473103
1436.txt,0.169114747
1437.txt,0.093527018
1438.txt,0.15999924
1439.txt,0.255618306
144.txt,0.134724335
1440.txt,0.080570502
1441.txt,0.146991162
1442.txt,0.025116868
1443.txt,0.09776218
1444.txt,0.112973499
1445.txt,0.059266076
1446.txt,0.074724345
1447.txt,0.148914744
1448.txt,0.149021552
1449.txt,0.09516947
145.txt,0.071946453
1450.txt,0.08337352
1451.txt,0.059077921
1452.txt,0.194746131
1453.txt,0.166409879
1454.txt,0.174995968
1455.txt,0.107131263
1456.txt,0.145565663
1457.txt,0.095526748
1458.txt,0.11184959
1459.txt,0.071946453
146.txt,0.117434735
1460.txt,0.115057972
1461.txt,0.102828804
1462.txt,0.124315387
1463.txt,0.14448317
1464.txt,0.080039154
1465.txt,0.158763329
1466.txt,0.099886166
1467.txt,0.139026067
1468.txt,0.082333329
1469.txt,0.167444384
147.txt,0.030609297
1470.txt,0.278484955
1471.txt,0.09775046
1472.txt,0.098098237
1473.txt,0.176971322
1474.txt,0.252985984
1475.txt,0.180450926
1476.txt,0.377600307
1477.txt,0.213961953
1478.txt,0.187430914
1479.txt,0.113884733
148.txt,0.085214732
1480.txt,0.1382574
1481.txt,0.098844142
1482.txt,0.105894732
1483.txt,0.316485959
1484.txt,0.111660488
1485.txt,0.086398823
1486.txt,0.131228626
1487.txt,0.086676649
1488.txt,0.162524819
1489.txt,0.099427189
149.txt,0.16370164
1490.txt,0.059266076
1491.txt,0.033473103
1492.txt,0.120959421
1493.txt,0.180670303
1494.txt,0.375573488
1495.txt,0.227519883
1496.txt,0.151807076
1497.txt,0.062766742
1498.txt,0.110170646
1499.txt,0.115235779
15.txt,0.068547483
150.txt,0.274391296
1500.txt,0.116558645
1501.txt,0.080370249
1502.txt,0.093124393
1503.txt,0.174006068
1504.txt,0.088698905
1505.txt,0.168599558
1506.txt,0.121042521
1507.txt,0.104218752
1508.txt,0.168838522
1509.txt,0.151282852
151.txt,0.070702257
1510.txt,0.139836709
1511.txt,0.08132983
1512.txt,0.090485343
1513.txt,0.204630065
1514.txt,0.115375612
1515.txt,0.092284827
1516.txt,0.075580384
1517.txt,0.090816529
1518.txt,0.113884053
1519.txt,0.134163271
152.txt,0.114646295
1520.txt,0.053583034
1521.txt,0.152356434
